cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;nit;cod_dpto;departamento;cod_mpio;municipio;localidad;barrio;direccion;telefono;correo_electronico;pagina_web;naturaleza;nombre_representante;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;fecha_otorgamiento;fecha_vencimiento;longitud;latitud;año_corte;mes_corte;fecha_corte
3.797,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO;8.073,;CENTRO EDUCATIVO Y CULTURAL COLOMBO AMERICANO;2073;2013 jul 23 12:00:00 AM;52154652;50,;META;50.001,;VILLAVICENCIO;;;CARRERA 38 No.33B-26;6626439;colomboamericano@hotmail.com;;PRIVADA;MIRTHA YANIRACALDERÓN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;907,;CODIANNI CENTRO DE PREPARACIÓN DE TEST S.A.;3194;2008 ago 26 12:00:00 AM;830029241 - 6;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;CHAPINERO;CHICO;CALLE 97 No 11 A -10;2577311;colombia@kaplan.com.co;;PRIVADA;DANIEL DARIO CODIANNI ZOPPI;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.807,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE DOSQUEBRADAS;7.882,;CORPORACIÓN PARA EL EMPRENDIMIENTO EMPRESARIAL-CORPEM;1171;2015 sep 22 12:00:00 AM;900400554-1;66,;RISARALDA;66.170,;DOSQUEBRADAS;;BUENOS AIRES;Calle 41 N° 15-25;3436045;corpem@camado.org.co;;PRIVADA;JULIANA ISAURAMARÍN LONDOÑO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.782,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MONTERÍA;6.633,;UNIVERSIDAD COOPERATIVA DE COLOMBIA;0501;2074 may 07 12:00:00 AM;860029924-7;23,;CÓRDOBA;23.001,;MONTERIA;;LA CASTELLANA;CALLE 52A No. 6-79;7848040;jorge.velez@ucc.edu.co;www.ucc.edu.co;PRIVADA;JORGE WILSONVÉLEZ OSORIO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.809,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUCARAMANGA;6.585,;CORPORACION INTERAMERICANA DE EDUCACION - CIDES;1589;2004 jun 15 12:00:00 AM;804017412-2;68,;SANTANDER;68.001,;BUCARAMANGA;;SOTOMAYOR;CARRERA 26 No. 50-73;6473939;secretariageneral@interamericana.edu.co;www.cides.edu.co;PRIVADA;FERNANDOGUTIERREZ SOLANO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.758,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL DE ANTIOQUIA;5.916,;INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN DE LA COSTA IDECO;027334;2011 oct 10 12:00:00 AM;812007116-3;5,;ANTIOQUIA;5.250,;EL BAGRE;;Sector la Corniza;Avenida la Juventud - institución Educativa El bagre;83924752;instituto.ideco@hotmail.com;;PRIVADA;EDINSON JOSÉMESTRA ZAPA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.772,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOGAMOSO;8.708,;CORPORACIÓN CENTRO INTERNACIONAL DE COLABORACIÓN PARA EL AVANCE PROFESIONAL Y EDUCATIVO CICAPE;342;2017 sep 21 12:00:00 AM;900880440-7;15,;BOYACÁ;15.759,;SOGAMOSO;;;CARRERA 14 No. 2 Sur - 46 Bloque 11 Local 3;3112674964;corporacioncicape@gmail.com;;PRIVADA;LYDA LORENABARON PINTO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.806,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PEREIRA;2.644,;INSTITUTO  TECNICO CIRCULO DE LA BELLEZA;602;2093 oct 25 12:00:00 AM;10082889-8;66,;RISARALDA;66.001,;PEREIRA;;CENTRO;CARRERA 5a Nº 19-36, CALLE 22 Nº 4-66;3256954;circulodelabellezaestetica@hotmail.com;www.circulodelabelleza.com;PRIVADA;NANCYDE BEDOYA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.799,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO;8.681,;INSTITUTO NACIONAL PARA LA FORMACIÓN Y EL PENSAMIENTO ANDINO INKA;3364;2015 dic 28 12:00:00 AM;1085264782-4;52,;NARIÑO;52.001,;PASTO;;;CALLE 17 No. 25-17;3226405470;marlunex@yahoo.es;;PRIVADA;MARTHA LUCIACHALPARIZAN CHALPARIZAN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;6.667,;ALITIC ALIANZA TECNICA - (FUNDACION TECNAR DEL ATLANTICO);02048;2013 abr 19 12:00:00 AM;900372094-2;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;;CRA 54 No. 64 - 73;3112853;milena.diaz@alitic.edu.co;;PRIVADA;ANDREA PAOLAAGAMEZ POLO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.769,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOYACÁ;9.088,;"UNIDADES EDUCATIVAS TÉCNICAS DE RICAURTE ""TECNICAURTE""";5023;2017 jul 24 12:00:00 AM;900818006-0;15,;BOYACÁ;15.469,;MONIQUIRÁ;;;CALLE 17 No. 4-53;7280142;fundacionmajoni@gmail.com;;PRIVADA;DIANA CONSTANZACASTILLO CARO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;6.117,;CENTRO DE CAPACITACION EN SALUD UNISALUD LTDA;2128;2097 feb 24 12:00:00 AM;860.535.328-7;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;ANTONIO NARIÑO;Restrepo;Carrera 19 # 19B 39 sur;3729196;unisalud@unisalud.edu.co;www.unisalud.edu.co;PRIVADA;EFRAIN GARTNER NICHOLLS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.809,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUCARAMANGA;7.990,;INSTITUTO GIMNASIO SUPERIOR;1919;2015 jun 09 12:00:00 AM;804016798-5;68,;SANTANDER;68.001,;BUCARAMANGA;;LA VICTORIA;CALLE 67 N°11-29;6472971;gimnasiosuperior@yahoo.es;www.gimnasiosuperior.edu.co;PRIVADA;DIANA VIRGINIAVELASQUEZ VEGA;SI;FT-CER619662;NTC 5555;ICONTEC;RENOVADA;2018 jul 06 12:00:00 AM;2021 jul 05 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.777,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CAUCA;8.748,;COLEGIO INSTITUTO BOLIVARIANO - INSBOL;12417;2017 nov 29 12:00:00 AM;34331737-3;19,;CAUCA;19.698,;SANTANDER DE QUILICHAO;;El Rosario;Calle 2 No. 7-127;8206345;coleinsbolivariano@hotmail.es;;PRIVADA;NESTOR JOSECORREA ORTIZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;8.578,;CORPORACION DE ESTUDIOS EN ADMINISTRACION Y SALUD CORPASALUD;03069;2017 mar 08 12:00:00 AM;900920694-3;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;VICTORIA;CRA 14 No. 45 - 43;3016272313;corpasalud1@outlook.es;;PRIVADA;GREY PATRICIATORRES VALDES;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;1.356,;INSTITUTO DE EDUCACION INGABO SEDE CHAPINERO 65;3065;2005 jul 19 12:00:00 AM;830040933-9;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;BARRIOS UNIDOS;CHAPINERO - BARRIOS UNIDOS;CARRERA 14 NO. 65-27;2118295;direccionchapinero@ingabo.edu.co;www.institutoingabo.com;PRIVADA;CARLOS MAURICIO BAEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.764,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL ATLÁNTICO;8.471,;ELYON YIREH;00605;2016 mar 31 12:00:00 AM;900077662-1;8,;ATLÁNTICO;8.606,;REPELÓN;;;CL 7 NO 6 - 100;3114078331;chadebal1979@hotmail.com;;PRIVADA;JAIROFLEREZ SAMPAYO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;6.119,;ACADEMIA DE BELLEZA SIEMPRE JOVEN;15-010;2011 mar 09 12:00:00 AM;41649954-7;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;ANTONIO NARIÑO;RESTREPO;CARRERA 18 SUR No. 18-55 PISO 2;5998025;academiasiemprejoven@gmail.com;http://www.academiadebellezasiemprejoven.com/;PRIVADA;FABIOLATORRES SALDAÑA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.910,;SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA;6.534,;INSTITUTO PARA EL TRABAJO Y DESARROLLO HUMANO LUZ  BELSY;0163;2009 ene 29 12:00:00 AM;331408740;13,;BOLÍVAR;13.001,;CARTAGENA;;Alcibia;Av. Pedro de Heredia Calle 30 No 37-93;6722175;escueladebellezaluzbelsy1980@hotmail.com;;PRIVADA;Luz Dalys Harris Blanquicett;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.759,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;9.097,;FORMASER EDU;201850080178;2018 dic 05 12:00:00 AM;9011649923;5,;ANTIOQUIA;5.001,;MEDELLÍN;MEDELLIN;932;CARRERA 43A N° 10 - SUR 23;4441299;institutoformaser@gmail.com;WWW.INSTITUTOFORMASER.COM;PRIVADA;LINA MARÍAACEVEDO NARANJO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;4.787,;ESCUELA DE DISEÑO Y MERCADEO DE MODA ARTURO TEJADA CANO;1357;2079 jul 11 12:00:00 AM;800026828-6;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;SANTA FE;LA MERCED;CALLE 34 N 6-03;2328020;gerencia@arturotejada.edu.co;;PRIVADA;NATALIA TEJADA CORREDOR;NO;CO17.01654;NTC 5555;BUREAU VERITAS;CANCELADA;2014 sep 24 12:00:00 AM;2021 ene 22 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.799,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO;9.581,;"CENTRO DE IDIOMAS ""SAN LORENZO DE BRINDIS"" UNIVERSIDAD CESMAG";10735;2082 jun 23 12:00:00 AM;800109387-7;52,;NARIÑO;52.001,;PASTO;;CENTRO;CARRERA 20A No: 14-54;7216535;rectoria@iucesmag.edu.co;www.iucesmag.edu.co;PRIVADA;GIOVANNY ALEXANDERBENAVIDES BARBOSA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.815,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL TOLIMA;8.498,;CENTRO DE FORMACIÓN Y EDUCACIÓN TÉCNICA CENFETEC;1378;2017 mar 13 12:00:00 AM;1110570222;73,;TOLIMA;73.622,;RONCESVALLES;;;CARRERA 2 No 10 -01;2462073;cenfetec@yahoo.es;;PRIVADA;JOSE DAVIDCUENCA CAMPOS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;666,;CENTRO INTEGRAL PARA EL DESARROLLO HUMANO CEPA;00368;2097 abr 21 12:00:00 AM;802022468-7;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;PUMAREJO;CARRERA 20 No. 60 - 84;3655967;cepacorporacion@hotmail.com;;PRIVADA;ANA SOFIAROCHA IGUARAN;NO;FT-CER659864;NTC 5555;ICONTEC;CANCELADA;2018 dic 28 12:00:00 AM;2021 dic 27 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.770,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE TUNJA;1.805,;AMERICAN PASSPORT ENGLISH INSTITUTE;00728;2008 dic 31 12:00:00 AM;37949003-0;15,;BOYACÁ;15.001,;TUNJA;;Las Nieves;CRA 9 NO. 24-63;7431326;englishiggherpassport@hotmail.com;;PRIVADA;SANDRA MILENAAYALA MARIÑO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.804,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE ARMENIA;9.053,;CENTRO DE INMERSIÓN EN LENGUAS COMFENALCO;2762;2018 oct 10 12:00:00 AM;890000381-0;63,;QUINDÍO;63.001,;ARMENIA;;Comfenalco;Kilómetro 9, vía aeropuerto El Edén;7479007;DIVING@COMFENALCOQUINDIO.COM;WWW.COMFENALCOQUINDIO.COM;PRIVADA;JAIME ALBERTOURAZÁN PEÑA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.826,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL PUTUMAYO;9.511,;Instituto Técnico Comfamiliar ITEC;0055;2020 ene 09 12:00:00 AM;891200337-8;86,;PUTUMAYO;86.320,;ORITO;;Marco Fidel Suarez;Calle 8a N° 11-118;4292336;uisorito@comfaputumayo.com;;PRIVADA;Licenia AlexandraHernández Aguilera;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.824,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL ARAUCA;8.338,;"INSTITUTO ARAUCANO DE FORMACIÓN TÉCNICA LABORAL ""INARFOTEC"" S.A.S";3273;2016 oct 28 12:00:00 AM;900977873-0;81,;ARAUCA;81.001,;ARAUCA;;Union;Calle 23 N°7-25;3153227550;inarfotec@gmail.com;;PRIVADA;LINA YOHANAMENDEZ CRISPIN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.807,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE DOSQUEBRADAS;9.255,;DINÁMICA OCUPACIONAL;785;2019 jun 17 12:00:00 AM;900638300-9;66,;RISARALDA;66.170,;DOSQUEBRADAS;;La Badea;Calle 9 Transversal 5 Bodega 5;3300462;info@dinamicaocupacional.com;;PRIVADA;JOSÉ JULIANORTÍZ BURGOS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.815,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL TOLIMA;9.459,;UNIDAD TECNOLÓGICA DE INNOVACIÓN Y EMPRENDIMIENTO SUPERIOR - UNIES;7720;2019 nov 18 12:00:00 AM;9001178766-6;73,;TOLIMA;73.443,;MARIQUITA;;LAS PALMERAS;CALLE 10 No 12 - 19;3202836489;rectoria@unies.edu.co;;PRIVADA;URIASROMERO ROMERO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.802,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA;2.283,;CORPORACION EDUCATIVA PUBLICA JULIO PEREZ FERRERO;000536;2007 abr 19 12:00:00 AM;807005753-8;54,;NORTE DE SANTANDER;54.001,;CÚCUTA;;La Playa;Avenida 1 # 12-35;5723187;coordinacionacademico@bibliocucuta.org;www.bibliocucuta.org;PRIVADA;Julio CesarGarcia Herreros Prada;SI;FT-CER624631;NTC 5555;ICONTEC;RENOVADA;2018 jul 27 12:00:00 AM;2021 jul 26 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;349,;ESCUELA DE MÚSICA FERNANDO SOR;2569;2000 jul 27 12:00:00 AM;900516389 - 1;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;TEUSAQUILLO;EL RECUERDO;CALLE 26 NO. 34 A  - 33;3407772;escuela@fernandosor.edu.co;www.fernandosor.edu.co;PRIVADA;EDILSONGOMEZ LAGOS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.767,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR;9.343,;CENTRO EDUCATIVO DE ARTES Y CIENCIAS CEAC;3591;2019 sep 11 12:00:00 AM;901323230;13,;BOLÍVAR;13.836,;TURBACO;;CALLE DEL TRONCO;CARRERA 11 Nº10-71;3106603391;centroeducativoceac@gmail.com;www.ceac.com.co;PRIVADA;MARLY DE JESUSLOPEZ JIMENEZ;NO;;;;;;;-75,409408;10,325024;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;6.567,;INSTITUTO PRACTICO INTERNACIONAL DE IDIOMAS - SUBA;23-47;2008 jul 03 12:00:00 AM;800171366-5;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;SUBA;NIZA;TRANSVERSAL 60 AVENIDA SUBA 124-20;6431953;melidapraxis@hotmail.com;;PRIVADA;melidaperalta de peña;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;3.984,;INSTITUTO DE EDUCACION CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;10-005;2010 ene 20 12:00:00 AM;860070301-1;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;ENGATIVA;SANTA HELENITA;AVENIDA 68 Nº 68 B 31 BLOQUE NORTE;7460909;asistente.operativo@cruzrojabogota.org.co;www.cruzrojabogota.edu.co;PRIVADA;JULIO ENRIQUE DUARTE GARCIA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;3.776,;ESCUELA DE GASTRONOMIA COCINAR;03923;2008 ago 08 12:00:00 AM;900189371-4;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;PRADO;CARRERA 58 No. 64 - 230;3600255;info@cocinar.com.co;www.cocinar.com.co;PRIVADA;EDILBERTO PACHECO FALLON;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.802,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA;8.158,;INSTITUCION DE EDUCACION PARA EL TRABAJO Y DESARROLLO HUMANO ASITAR S.A.S;1307;2016 jun 10 12:00:00 AM;900695595-7;54,;NORTE DE SANTANDER;54.001,;CÚCUTA;;LA PLAYA;CALLE 12 NO. 4-19 OFICINA 105 EDIFICIO PANAMERICANO;5717942;coordinacion.asitarsas@gmail.com;;PRIVADA;CARLOS EDUARDOHENAO HERNANDEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.780,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VALLEDUPAR;2.219,;INSTITUTO TECNICO DE FORMACION TEOLOGICA EBENEZER;0204;2008 nov 12 12:00:00 AM;892300787-1;20,;CESAR;20.001,;VALLEDUPAR;;LOPERENA;CL 18 15-04;5708946;instebenezer@hotmail.com;;PRIVADA;ERNESTO JULIOVILLARREAL PATERNINA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.817,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL VALLE;8.523,;CESTELCO CENTRO DE ESTUDIOS TECNICOS LABORALES DE COLOMBIA;03115;2016 oct 04 12:00:00 AM;66786166-7;76,;VALLE DEL CAUCA;76.563,;PRADERA;;SEDE SAN JUAN BOSCO;CARRERA 9 No 5-35;3154514239;cestelco2012@hotmail.com;www.cestelco.edu.co;PRIVADA;ISABEL CRISTINA  ALEMAN GONZALEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.818,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CALI;3.078,;INSTITUTO CENTRO DE SISTEMAS DEL VALLE LIMITADA;3054;2015 abr 27 12:00:00 AM;805023313- 1;76,;VALLE DEL CAUCA;76.001,;CALI;;SANTA ISABEL;CARRERA 38 No. 4C -47;660 27 21;SYSTEMCENTERCALI@GMAIL.COM;http://www.systemcali.edu.co;PRIVADA;OMARCORREDOR GÓMEZ;SI;IC&T-5555-60-290-01/18;NTC 5555;INTERNATIONAL CERTIFICATION & TRAINING S.A.;RENOVADA;2018 dic 21 12:00:00 AM;2021 dic 20 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.798,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;7.611,;INSTITUTO DE CAPACITACIÓN EN ÁREAS ADMINISTRATIVAS Y SISTEMAS INCAAS;1035;2012 abr 23 12:00:00 AM;30726466;52,;NARIÑO;52.207,;CONSACA;;;I.E CONCENTRACIÓN DE DESARROLLO RURAL;3137444734;ins.incaas@gmail.com;;PRIVADA;DORIS MARGOTLASSO YELA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.781,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;6.909,;EMPRENDER PLUS;918;2013 oct 03 12:00:00 AM;30650876-2;23,;CÓRDOBA;23.672,;SAN ANTERO;;CORREGIMIENTO EL PORVENIR;CARRETERA TRONCAL VIA COVEÑAS;7731725;EMPRENPLUS@HOTMAIL.COM;;PRIVADA;YOLIMA YENISELSANCHEZ OSTEN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.781,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;5.105,;"INSTITUTO DE CAPACITACION Y FORMACION EDUCATIVA ""SYSTECOM""";00000005;2011 ene 21 12:00:00 AM;51678914-2;23,;CÓRDOBA;23.580,;PUERTO LIBERTADOR;;;I. E. GERMAN GOMEZ PELAEZ;7768202;www.systecom-edu@hotmail.com;;PRIVADA;JORGE ENRRIQUEMONTES VILLALBA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
10.930,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE ZIPAQUIRÁ;6.898,;CORPORACION ANDINA DE ESTUDIOS TECNICOS Y DESARROLLO EMPRESARIAL;E 698;2013 nov 18 12:00:00 AM;9003783414;25,;CUNDINAMARCA;25.899,;ZIPAQUIRÁ;;CENTRO;CALLE  8  4 -96;3100850335;corporacion.andina@hotmail.com;WWW.corporacionandina.net;PRIVADA;JOSE MANUELZARATE OLARTE;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.798,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;5.026,;INCAAS;3617;2009 nov 03 12:00:00 AM;30726466;52,;NARIÑO;52.256,;EL ROSARIO;;;I.E.NUESTRA SRA DEL ROSARIO;7367040;domalaye@hotmail.com;;PRIVADA;DORIS MARGOTHLASSO YELA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.910,;SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA;7.472,;INSTITUCION PARA EL TRABAJO Y DESARROLLO HUMANO CENTRO DE INVESTIGACIÓN Y ENTRENAMIENTO DE INSTALACIONES ELECTRICAS-CIEI;7790;2013 nov 25 12:00:00 AM;900684945-4;13,;BOLÍVAR;13.001,;CARTAGENA;;SAN FERNANDO;CRA. 80 N° 15-26;6745519;gerencia@carlosmarrugo.org;www.carlosmarrugo.org;PRIVADA;CARLOS EDUARDOMARRUGO VILLALOBOS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.824,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL ARAUCA;6.559,;"ACADEMIA DE BELLEZA INTEGRAL ""DENIS""";1464;2009 jun 09 12:00:00 AM;49769418-4;81,;ARAUCA;81.001,;ARAUCA;;MIRAMAR;CARRERA 21 No.26-56;8856701;academiabellezaintegraldenis@hotmail.com;;PRIVADA;DENIS BEATRIZPONTON CARRISALES;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.759,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;1.929,;MICROEMPRESAS DE COLOMBIA;11266;2009 dic 10 12:00:00 AM;8909084720;5,;ANTIOQUIA;5.001,;MEDELLÍN;MEDELLIN;VILLA NUEVA;CARRERA 49 N° 53 -19;5122998;mariateresa.gomez@mircoempresasdecolombia.com;www.mircoempresasdecolombia.com;PRIVADA;MARTHA LIGIAVELEZ MORENO;SI;CO19.02646;NTC 5555;BUREAU VERITAS;PRIMERA VEZ;2019 oct 15 12:00:00 AM;2022 oct 14 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.759,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;6.100,;POLITÉCNICO GENERAL JOSÉ MARÍA CÓRDOBA;03686;2012 mar 12 12:00:00 AM;8909011731;5,;ANTIOQUIA;5.001,;MEDELLÍN;MEDELLIN;;CALLE 49 N° 40 - 63;2161022;rectoria@polijmc.edu.co;www.polijmc.edu.co;PRIVADA;DIANA MARÍA LARA MEJÍA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
10.850,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FACATATIVÁ;4.540,;ACADEMIA NACIONAL DE APRENDIZAJE;000453;2093 abr 15 12:00:00 AM;79459396;25,;CUNDINAMARCA;25.269,;FACATATIVÁ;;Centro;Carrera 3 Nº 3-57;8901585;facatativa@andap.edu.co;;PRIVADA;FELIPE ANDRESPEREZ  JIMENEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.735,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA;8.743,;CENTRO DE FORMACIÓN PARA EL DESARROLLO PAULO FREIRE (CAPACITACIÓN INDUSTRIAL Y EMPRESARIAL - CINEM;007525;2017 dic 26 12:00:00 AM;900772168-5;25,;CUNDINAMARCA;25.486,;NEMOCÓN;;;CALLE 4 No. 5-34;3124387936;cdfpaulofreire@gmail.com;;PRIVADA;MARIA ALEJANDRAMORALES AREVALO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.759,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;4.923,;FUNDACIÓN SALAMANDRA O.N.G;08788;2009 sep 30 12:00:00 AM;8050184890;5,;ANTIOQUIA;5.001,;MEDELLÍN;MEDELLIN;;CARRERA 45 N° 6-80;2689455;coordinacioncvsmedellin@salamandra.edu.co;;PRIVADA;DIANAOSUNA GUTIERREZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.816,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE IBAGUÉ;2.766,;CENTRO DE EDUCACION INTEGRAL LABORAL COLOMBIANO CEILCO;81-2537;2008 dic 31 12:00:00 AM;809010602-1;73,;TOLIMA;73.001,;IBAGUÉ;;CENTRO;CARRERA 5 NO 15-60;3176362226;ceilcoibague@gmail.com;www.ceilco.edu.co;PRIVADA;GERMAN EDGARMELO OLIVAR;NO;;;;;;;75,2363616;4,443403;2.020,;11,;2020 nov 30 12:00:00 AM
